@#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary
413,WormadamPlant Cloak,1,10,424,60,59,85,79,105,36,4,2
413,WormadamSandy Cloak,1,11,424,60,79,105,59,85,36,4,2
413,WormadamTrash Cloak,1,17,424,60,69,95,69,95,36,4,2
414,Mothim,1,8,424,70,94,50,94,50,66,4,2
415,Combee,1,8,244,30,30,42,30,42,70,4,2
416,Vespiquen,1,8,474,70,80,102,80,102,40,4,2
417,Pachirisu,4, ,405,60,45,70,45,90,95,4,2
418,Buizel,18, ,330,55,65,35,60,30,85,4,2
419,Floatzel,18, ,495,85,105,55,85,50,115,4,2
420,Cherubi,10, ,275,45,35,45,62,53,35,4,2
421,Cherrim,10, ,450,70,60,70,87,78,85,4,2
422,Shellos,18, ,325,76,48,48,57,62,34,4,2
423,Gastrodon,18,11,475,111,83,68,92,82,39,4,2
424,Ambipom,13, ,482,75,100,66,60,66,115,4,2
425,Drifloon,9,8,348,90,50,34,60,44,70,4,2
426,Drifblim,9,8,498,150,80,44,90,54,80,4,2
427,Buneary,13, ,350,55,66,44,44,56,85,4,2
428,Lopunny,13, ,480,65,76,84,54,96,105,4,2
428,LopunnyMega Lopunny,13,6,580,65,136,94,54,96,135,4,2
429,Mismagius,9, ,495,60,60,60,105,105,105,4,2
430,Honchkrow,2,8,505,100,125,52,105,52,71,4,2
431,Glameow,13, ,310,49,55,42,42,37,85,4,2
432,Purugly,13, ,452,71,82,64,64,59,112,4,2
433,Chingling,15, ,285,45,30,50,65,50,45,4,2
434,Stunky,14,2,329,63,63,47,41,41,74,4,2
435,Skuntank,14,2,479,103,93,67,71,61,84,4,2
436,Bronzor,17,15,300,57,24,86,24,86,23,4,2
437,Bronzong,17,15,500,67,89,116,79,116,33,4,2
438,Bonsly,16, ,290,50,80,95,10,45,10,4,2
439,Mime Jr.,15,5,310,20,25,45,70,90,60,4,2
440,Happiny,13, ,220,100,5,5,15,65,30,4,2
441,Chatot,13,8,411,76,65,45,92,42,91,4,2
442,Spiritomb,9,2,485,50,92,108,92,108,35,4,2
443,Gible,3,11,300,58,70,45,40,45,42,4,2
444,Gabite,3,11,410,68,90,65,50,55,82,4,2
445,Garchomp,3,11,600,108,130,95,80,85,102,4,2
445,GarchompMega Garchomp,3,11,700,108,170,115,120,95,92,4,2
446,Munchlax,13, ,390,135,85,40,40,85,5,4,2
447,Riolu,6, ,285,40,70,40,35,40,60,4,2
448,Lucario,6,17,525,70,110,70,115,70,90,4,2
448,LucarioMega Lucario,6,17,625,70,145,88,140,70,112,4,2
449,Hippopotas,11, ,330,68,72,78,38,42,32,4,2
450,Hippowdon,11, ,525,108,112,118,68,72,47,4,2
451,Skorupi,14,1,330,40,50,90,30,55,65,4,2
452,Drapion,14,2,500,70,90,110,60,75,95,4,2
453,Croagunk,14,6,300,48,61,40,61,40,50,4,2
454,Toxicroak,14,6,490,83,106,65,86,65,85,4,2
455,Carnivine,10, ,454,74,100,72,90,72,46,4,2
456,Finneon,18, ,330,49,49,56,49,61,66,4,2
457,Lumineon,18, ,460,69,69,76,69,86,91,4,2
458,Mantyke,18,8,345,45,20,50,60,120,50,4,2
459,Snover,10,12,334,60,62,50,62,60,40,4,2
460,Abomasnow,10,12,494,90,92,75,92,85,60,4,2
460,AbomasnowMega Abomasnow,10,12,594,90,132,105,132,105,30,4,2
461,Weavile,2,12,510,70,120,65,45,85,125,4,2
462,Magnezone,4,17,535,70,70,115,130,90,60,4,2
463,Lickilicky,13, ,515,110,85,95,80,95,50,4,2
464,Rhyperior,11,16,535,115,140,130,55,55,40,4,2
465,Tangrowth,10, ,535,100,100,125,110,50,50,4,2
466,Electivire,4, ,540,75,123,67,95,85,95,4,2
467,Magmortar,7, ,540,75,95,67,125,95,83,4,2
468,Togekiss,5,8,545,85,50,95,120,115,80,4,2
469,Yanmega,1,8,515,86,76,86,116,56,95,4,2
470,Leafeon,10, ,525,65,110,130,60,65,95,4,2
471,Glaceon,12, ,525,65,60,110,130,95,65,4,2
472,Gliscor,11,8,510,75,95,125,45,75,95,4,2
473,Mamoswine,12,11,530,110,130,80,70,60,80,4,2
474,Porygon-Z,13, ,535,85,80,70,135,75,90,4,2
475,Gallade,15,6,518,68,125,65,65,115,80,4,2
475,GalladeMega Gallade,15,6,618,68,165,95,65,115,110,4,2
476,Probopass,16,17,525,60,55,145,75,150,40,4,2
477,Dusknoir,9, ,525,45,100,135,65,135,45,4,2
478,Froslass,12,9,480,70,80,70,80,70,110,4,2
479,Rotom,4,9,440,50,50,77,95,77,91,4,2
479,RotomHeat Rotom,4,7,520,50,65,107,105,107,86,4,2
479,RotomWash Rotom,4,18,520,50,65,107,105,107,86,4,2
479,RotomFrost Rotom,4,12,520,50,65,107,105,107,86,4,2
479,RotomFan Rotom,4,8,520,50,65,107,105,107,86,4,2
479,RotomMow Rotom,4,10,520,50,65,107,105,107,86,4,2
480,Uxie,15, ,580,75,75,130,75,130,95,4,1
481,Mesprit,15, ,580,80,105,105,105,105,80,4,1
482,Azelf,15, ,580,75,125,70,125,70,115,4,1
483,Dialga,17,3,680,100,120,120,150,100,90,4,1
484,Palkia,18,3,680,90,120,100,150,120,100,4,1
485,Heatran,7,17,600,91,90,106,130,106,77,4,1
486,Regigigas,13, ,670,110,160,110,80,110,100,4,1
487,GiratinaAltered Forme,9,3,680,150,100,120,100,120,90,4,1
487,GiratinaOrigin Forme,9,3,680,150,120,100,120,100,90,4,1
488,Cresselia,15, ,600,120,70,120,75,130,85,4,2
489,Phione,18, ,480,80,80,80,80,80,80,4,2
490,Manaphy,18, ,600,100,100,100,100,100,100,4,2
491,2rai,2, ,600,70,90,90,135,90,125,4,1
492,ShayminLand Forme,10, ,600,100,100,100,100,100,100,4,1
492,ShayminSky Forme,10,8,600,100,103,75,120,75,127,4,1
493,Arceus,13, ,720,120,120,120,120,120,120,4,1
494,Victini,15,7,600,100,100,100,100,100,100,5,1
495,Snivy,10, ,308,45,45,55,45,55,63,5,2
496,Servine,10, ,413,60,60,75,60,75,83,5,2
497,Serperior,10, ,528,75,75,95,75,95,113,5,2
498,Tepig,7, ,308,65,63,45,45,45,45,5,2
499,Pignite,7,6,418,90,93,55,70,55,55,5,2
500,Emboar,7,6,528,110,123,65,100,65,65,5,2
501,Oshawott,18, ,308,55,55,45,63,45,45,5,2
502,Dewott,18, ,413,75,75,60,83,60,60,5,2
503,Samurott,18, ,528,95,100,85,108,70,70,5,2
504,Patrat,13, ,255,45,55,39,35,39,42,5,2
505,Watchog,13, ,420,60,85,69,60,69,77,5,2
506,Lillipup,13, ,275,45,60,45,25,45,55,5,2
507,Herdier,13, ,370,65,80,65,35,65,60,5,2
508,Stoutland,13, ,500,85,110,90,45,90,80,5,2
509,Purrloin,2, ,281,41,50,37,50,37,66,5,2
510,Liepard,2, ,446,64,88,50,88,50,106,5,2
511,Pansage,10, ,316,50,53,48,53,48,64,5,2
512,Simisage,10, ,498,75,98,63,98,63,101,5,2
513,Pansear,7, ,316,50,53,48,53,48,64,5,2
514,Simisear,7, ,498,75,98,63,98,63,101,5,2
515,Panpour,18, ,316,50,53,48,53,48,64,5,2
516,Simipour,18, ,498,75,98,63,98,63,101,5,2
517,Munna,15, ,292,76,25,45,67,55,24,5,2
518,Musharna,15, ,487,116,55,85,107,95,29,5,2
519,Pidove,13,8,264,50,55,50,36,30,43,5,2
520,Tranquill,13,8,358,62,77,62,50,42,65,5,2
521,Unfezant,13,8,488,80,115,80,65,55,93,5,2
522,Blitzle,4, ,295,45,60,32,50,32,76,5,2
523,Zebstrika,4, ,497,75,100,63,80,63,116,5,2
524,Roggenrola,16, ,280,55,75,85,25,25,15,5,2
525,Boldore,16, ,390,70,105,105,50,40,20,5,2
526,Gigalith,16, ,515,85,135,130,60,80,25,5,2
527,Woobat,15,8,313,55,45,43,55,43,72,5,2
528,Swoobat,15,8,425,67,57,55,77,55,114,5,2
529,Drilbur,11, ,328,60,85,40,30,45,68,5,2
530,Excadrill,11,17,508,110,135,60,50,65,88,5,2
531,Audino,13, ,445,103,60,86,60,86,50,5,2
531,AudinoMega Audino,13,5,545,103,60,126,80,126,50,5,2
532,Timburr,6, ,305,75,80,55,25,35,35,5,2
533,Gurdurr,6, ,405,85,105,85,40,50,40,5,2
534,Conkeldurr,6, ,505,105,140,95,55,65,45,5,2
535,Tympole,18, ,294,50,50,40,50,40,64,5,2
536,Palpitoad,18,11,384,75,65,55,65,55,69,5,2
537,Seismitoad,18,11,509,105,95,75,85,75,74,5,2
538,Throh,6, ,465,120,100,85,30,85,45,5,2
539,Sawk,6, ,465,75,125,75,30,75,85,5,2
540,Sewaddle,1,10,310,45,53,70,40,60,42,5,2
541,Swadloon,1,10,380,55,63,90,50,80,42,5,2
542,Leavanny,1,10,500,75,103,80,70,80,92,5,2
543,Venipede,1,14,260,30,45,59,30,39,57,5,2
544,Whirlipede,1,14,360,40,55,99,40,79,47,5,2
545,Scolipede,1,14,485,60,100,89,55,69,112,5,2
546,Cottonee,10,5,280,40,27,60,37,50,66,5,2
547,Whimsicott,10,5,480,60,67,85,77,75,116,5,2
548,Petilil,10, ,280,45,35,50,70,50,30,5,2
549,Lilligant,10, ,480,70,60,75,110,75,90,5,2
550,Basculin,18, ,460,70,92,65,80,55,98,5,2
551,Sandile,11,2,292,50,72,35,35,35,65,5,2
552,Krokorok,11,2,351,60,82,45,45,45,74,5,2
553,Krookodile,11,2,519,95,117,80,65,70,92,5,2
554,Darumaka,7, ,315,70,90,45,15,45,50,5,2
555,DarmanitanStandard Mode,7, ,480,105,140,55,30,55,95,5,2
555,DarmanitanZen Mode,7,15,540,105,30,105,140,105,55,5,2
556,Maractus,10, ,461,75,86,67,106,67,60,5,2
557,Dwebble,1,16,325,50,65,85,35,35,55,5,2
558,Crustle,1,16,475,70,95,125,65,75,45,5,2
559,Scraggy,2,6,348,50,75,70,35,70,48,5,2
560,Scrafty,2,6,488,65,90,115,45,115,58,5,2
561,Sigilyph,15,8,490,72,58,80,103,80,97,5,2
562,Yamask,9, ,303,38,30,85,55,65,30,5,2
563,Cofagrigus,9, ,483,58,50,145,95,105,30,5,2
564,Tirtouga,18,16,355,54,78,103,53,45,22,5,2
565,Carracosta,18,16,495,74,108,133,83,65,32,5,2
566,Archen,16,8,401,55,112,45,74,45,70,5,2
567,Archeops,16,8,567,75,140,65,112,65,110,5,2
568,Trubbish,14, ,329,50,50,62,40,62,65,5,2
569,Garbodor,14, ,474,80,95,82,60,82,75,5,2
570,Zorua,2, ,330,40,65,40,80,40,65,5,2
571,Zoroark,2, ,510,60,105,60,120,60,105,5,2
572,Minccino,13, ,300,55,50,40,40,40,75,5,2
573,Cinccino,13, ,470,75,95,60,65,60,115,5,2
574,Gothita,15, ,290,45,30,50,55,65,45,5,2
575,Gothorita,15, ,390,60,45,70,75,85,55,5,2
576,Gothitelle,15, ,490,70,55,95,95,110,65,5,2
577,Solosis,15, ,290,45,30,40,105,50,20,5,2
578,Duosion,15, ,370,65,40,50,125,60,30,5,2
579,Reuniclus,15, ,490,110,65,75,125,85,30,5,2
580,Ducklett,18,8,305,62,44,50,44,50,55,5,2
581,Swanna,18,8,473,75,87,63,87,63,98,5,2
582,Vanillite,12, ,305,36,50,50,65,60,44,5,2
583,Vanillish,12, ,395,51,65,65,80,75,59,5,2
584,Vanilluxe,12, ,535,71,95,85,110,95,79,5,2
585,Deerling,13,10,335,60,60,50,40,50,75,5,2
586,Sawsbuck,13,10,475,80,100,70,60,70,95,5,2
587,Emolga,4,8,428,55,75,60,75,60,103,5,2
588,Karrablast,1, ,315,50,75,45,40,45,60,5,2
589,Escavalier,1,17,495,70,135,105,60,105,20,5,2
590,Foongus,10,14,294,69,55,45,55,55,15,5,2
591,Amoonguss,10,14,464,114,85,70,85,80,30,5,2
592,Frillish,18,9,335,55,40,50,65,85,40,5,2
593,Jell12nt,18,9,480,100,60,70,85,105,60,5,2
594,Alomomola,18, ,470,165,75,80,40,45,65,5,2
595,Joltik,1,4,319,50,47,50,57,50,65,5,2
596,Galvantula,1,4,472,70,77,60,97,60,108,5,2
597,Ferroseed,10,17,305,44,50,91,24,86,10,5,2
598,Ferrothorn,10,17,489,74,94,131,54,116,20,5,2
599,Klink,17, ,300,40,55,70,45,60,30,5,2
600,Klang,17, ,440,60,80,95,70,85,50,5,2
601,Klinklang,17, ,520,60,100,115,70,85,90,5,2
602,Tynamo,4, ,275,35,55,40,45,40,60,5,2
603,Eelektrik,4, ,405,65,85,70,75,70,40,5,2
604,Eelektross,4, ,515,85,115,80,105,80,50,5,2
605,Elgyem,15, ,335,55,55,55,85,55,30,5,2
606,Beheeyem,15, ,485,75,75,75,125,95,40,5,2
607,Litwick,9,7,275,50,30,55,65,55,20,5,2
608,Lampent,9,7,370,60,40,60,95,60,55,5,2
609,Chandelure,9,7,520,60,55,90,145,90,80,5,2
610,Axew,3, ,320,46,87,60,30,40,57,5,2
611,Fraxure,3, ,410,66,117,70,40,50,67,5,2
612,Haxorus,3, ,540,76,147,90,60,70,97,5,2
613,Cubchoo,12, ,305,55,70,40,60,40,40,5,2
614,Beartic,12, ,485,95,110,80,70,80,50,5,2
615,Cryogonal,12, ,485,70,50,30,95,135,105,5,2
616,Shelmet,1, ,305,50,40,85,40,65,25,5,2
617,Accelgor,1, ,495,80,70,40,100,60,145,5,2
618,Stunfisk,11,4,471,109,66,84,81,99,32,5,2
619,Mienfoo,6, ,350,45,85,50,55,50,65,5,2
620,Mienshao,6, ,510,65,125,60,95,60,105,5,2
621,Druddigon,3, ,485,77,120,90,60,90,48,5,2
622,Golett,11,9,303,59,74,50,35,50,35,5,2
623,Golurk,11,9,483,89,124,80,55,80,55,5,2
624,Pawniard,2,17,340,45,85,70,40,40,60,5,2
625,Bisharp,2,17,490,65,125,100,60,70,70,5,2
626,Bouffalant,13, ,490,95,110,95,40,95,55,5,2
627,Rufflet,13,8,350,70,83,50,37,50,60,5,2
628,Braviary,13,8,510,100,123,75,57,75,80,5,2
629,Vullaby,2,8,370,70,55,75,45,65,60,5,2
630,Mandibuzz,2,8,510,110,65,105,55,95,80,5,2
631,Heatmor,7, ,484,85,97,66,105,66,65,5,2
632,Durant,1,17,484,58,109,112,48,48,109,5,2
633,Deino,2,3,300,52,65,50,45,50,38,5,2
634,Zweilous,2,3,420,72,85,70,65,70,58,5,2
635,Hydreigon,2,3,600,92,105,90,125,90,98,5,2
636,Larvesta,1,7,360,55,85,55,50,55,60,5,2
637,Volcarona,1,7,550,85,60,65,135,105,100,5,2
638,Cobalion,17,6,580,91,90,129,90,72,108,5,1
639,Terrakion,16,6,580,91,129,90,72,90,108,5,1
640,Virizion,10,6,580,91,90,72,90,129,108,5,1
641,TornadusIncarnate Forme,8, ,580,79,115,70,125,80,111,5,1
641,TornadusTherian Forme,8, ,580,79,100,80,110,90,121,5,1
642,ThundurusIncarnate Forme,4,8,580,79,115,70,125,80,111,5,1
642,ThundurusTherian Forme,4,8,580,79,105,70,145,80,101,5,1
643,Reshiram,3,7,680,100,120,100,150,120,90,5,1
644,Zekrom,3,4,680,100,150,120,120,100,90,5,1
645,LandorusIncarnate Forme,11,8,600,89,125,90,115,80,101,5,1
645,LandorusTherian Forme,11,8,600,89,145,90,105,80,91,5,1
646,Kyurem,3,12,660,125,130,90,130,90,95,5,1
646,KyuremBlack Kyurem,3,12,700,125,170,100,120,90,95,5,1
646,KyuremWhite Kyurem,3,12,700,125,120,90,170,100,95,5,1
647,KeldeoOrdinary Forme,18,6,580,91,72,90,129,90,108,5,2
647,KeldeoResolute Forme,18,6,580,91,72,90,129,90,108,5,2
648,MeloettaAria Forme,13,15,600,100,77,77,128,128,90,5,2
648,MeloettaPirouette Forme,13,6,600,100,128,90,77,77,128,5,2
649,Genesect,1,17,600,71,120,95,120,95,99,5,2
650,Chespin,10, ,313,56,61,65,48,45,38,6,2
651,Quilladin,10, ,405,61,78,95,56,58,57,6,2
652,Chesnaught,10,6,530,88,107,122,74,75,64,6,2
653,Fennekin,7, ,307,40,45,40,62,60,60,6,2
654,Braixen,7, ,409,59,59,58,90,70,73,6,2
655,Delphox,7,15,534,75,69,72,114,100,104,6,2
656,Froakie,18, ,314,41,56,40,62,44,71,6,2
657,Frogadier,18, ,405,54,63,52,83,56,97,6,2
658,Greninja,18,2,530,72,95,67,103,71,122,6,2
659,Bunnelby,13, ,237,38,36,38,32,36,57,6,2
660,Diggersby,13,11,423,85,56,77,50,77,78,6,2
661,Fletchling,13,8,278,45,50,43,40,38,62,6,2
662,Fletchinder,7,8,382,62,73,55,56,52,84,6,2
663,Talonflame,7,8,499,78,81,71,74,69,126,6,2
664,Scatter1,1, ,200,38,35,40,27,25,35,6,2
665,Spewpa,1, ,213,45,22,60,27,30,29,6,2
666,Vivillon,1,8,411,80,52,50,90,50,89,6,2
667,Litleo,7,13,369,62,50,58,73,54,72,6,2
668,Pyroar,7,13,507,86,68,72,109,66,106,6,2
669,Flabébé,5, ,303,44,38,39,61,79,42,6,2
670,Floette,5, ,371,54,45,47,75,98,52,6,2
671,Florges,5, ,552,78,65,68,112,154,75,6,2
672,Skiddo,10, ,350,66,65,48,62,57,52,6,2
673,Gogoat,10, ,531,123,100,62,97,81,68,6,2
674,Pancham,6, ,348,67,82,62,46,48,43,6,2
675,Pangoro,6,2,495,95,124,78,69,71,58,6,2
676,Furfrou,13, ,472,75,80,60,65,90,102,6,2
677,Espurr,15, ,355,62,48,54,63,60,68,6,2
678,MeowsticMale,15, ,466,74,48,76,83,81,104,6,2
678,MeowsticFemale,15, ,466,74,48,76,83,81,104,6,2
679,Honedge,17,9,325,45,80,100,35,37,28,6,2
680,Doublade,17,9,448,59,110,150,45,49,35,6,2
681,AegislashBlade Forme,17,9,520,60,150,50,150,50,60,6,2
681,AegislashShield Forme,17,9,520,60,50,150,50,150,60,6,2
682,Spritzee,5, ,341,78,52,60,63,65,23,6,2
683,Aromatisse,5, ,462,101,72,72,99,89,29,6,2
684,Swirlix,5, ,341,62,48,66,59,57,49,6,2
685,Slurpuff,5, ,480,82,80,86,85,75,72,6,2
686,Inkay,2,15,288,53,54,53,37,46,45,6,2
687,Malamar,2,15,482,86,92,88,68,75,73,6,2
688,Binacle,16,18,306,42,52,67,39,56,50,6,2
689,Barbaracle,16,18,500,72,105,115,54,86,68,6,2
690,Skrelp,14,18,320,50,60,60,60,60,30,6,2
691,Dragalge,14,3,494,65,75,90,97,123,44,6,2
692,Clauncher,18, ,330,50,53,62,58,63,44,6,2
693,Clawitzer,18, ,500,71,73,88,120,89,59,6,2
694,Helioptile,4,13,289,44,38,33,61,43,70,6,2
695,Heliolisk,4,13,481,62,55,52,109,94,109,6,2
696,Tyrunt,16,3,362,58,89,77,45,45,48,6,2
697,Tyrantrum,16,3,521,82,121,119,69,59,71,6,2
698,Amaura,16,12,362,77,59,50,67,63,46,6,2
699,Aurorus,16,12,521,123,77,72,99,92,58,6,2
700,Sylveon,5, ,525,95,65,65,110,130,60,6,2
701,Hawlucha,6,8,500,78,92,75,74,63,118,6,2
702,Dedenne,4,5,431,67,58,57,81,67,101,6,2
703,Carbink,16,5,500,50,50,150,50,150,50,6,2
704,Goomy,3, ,300,45,50,35,55,75,40,6,2
705,Sliggoo,3, ,452,68,75,53,83,113,60,6,2
706,Goodra,3, ,600,90,100,70,110,150,80,6,2
707,Klefki,17,5,470,57,80,91,80,87,75,6,2
708,Phantump,9,10,309,43,70,48,50,60,38,6,2
709,Trevenant,9,10,474,85,110,76,65,82,56,6,2
710,PumpkabooAverage Size,9,10,335,49,66,70,44,55,51,6,2
710,PumpkabooSmall Size,9,10,335,44,66,70,44,55,56,6,2
710,PumpkabooLarge Size,9,10,335,54,66,70,44,55,46,6,2
710,PumpkabooSuper Size,9,10,335,59,66,70,44,55,41,6,2
711,GourgeistAverage Size,9,10,494,65,90,122,58,75,84,6,2
711,GourgeistSmall Size,9,10,494,55,85,122,58,75,99,6,2
711,GourgeistLarge Size,9,10,494,75,95,122,58,75,69,6,2
711,GourgeistSuper Size,9,10,494,85,100,122,58,75,54,6,2
712,Bergmite,12, ,304,55,69,85,32,35,28,6,2
713,Avalugg,12, ,514,95,117,184,44,46,28,6,2
714,Noibat,8,3,245,40,30,35,45,40,55,6,2
715,Noivern,8,3,535,85,70,80,97,80,123,6,2
716,Xerneas,5, ,680,126,131,95,131,98,99,6,1
717,Yveltal,2,8,680,126,131,95,131,98,99,6,1
718,Zygarde50% Forme,3,11,600,108,100,121,81,95,95,6,1
719,Diancie,16,5,600,50,100,150,100,150,50,6,1
719,DiancieMega Diancie,16,5,700,50,160,110,160,110,110,6,1
720,HoopaHoopa Confined,15,9,600,80,110,60,150,130,70,6,1
720,HoopaHoopa Unbound,15,2,680,80,160,60,170,130,80,6,1
721,Volcanion,7,18,600,80,110,120,130,90,70,6,1
