ID,Frecuencia_Actividad_Fisica,Duracion_Entrenamientos,Proteina_Diaria_g,Consumo_Suplementos,Proteina_Suplementos_g,Recomendaciones_Nutricionales,Peso_Corporal_kg,Plan_Entrenamiento,Monitorea_Progresos,Alimentacion_Adaptada,Horas_Sueno,Lesiones,Participa_Competencias,Motivacion_Entrenamiento,Orientacion_Profesional,Entorno_Favorece,Objetivo_Deportivo,Factor_Influencia,Energia_Fisica,Herramientas_Registro,Estado_Emocional_Afecta,Mejoras_Ultimos_6_Meses,Calentamiento,Estiramiento_Recuperacion
78,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Medio,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
79,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
80,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,Nunca,50-70 kg,Raramente,Nunca,Nunca,Raramente,Nunca,Nunca,Raramente,Nunca,Raramente,Mejorar salud,Descanso,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
81,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,No consumo suplementos,No consumo suplementos,Más de 90 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Motivación,Bajo,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
82,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Ocasionalmente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
83,Ocasionalmente,Menos de 30 minutos,50-100 g,Raramente,No consumo suplementos,No consumo suplementos,Menos de 50 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Nunca,Ocasionalmente,Pequeñas,Ocasionalmente,Raramente
84,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Mejorar salud,Entrenamiento,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
85,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,Nunca,50-70 kg,Raramente,Nunca,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Mejorar salud,Motivación,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
86,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Medio,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
87,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
88,Ocasionalmente,Menos de 30 minutos,50-100 g,Nunca,No consumo suplementos,No consumo suplementos,Más de 90 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Raramente,Nunca,Raramente,Nunca,Ocasionalmente,Mejorar salud,Motivación,Bajo,Nunca,Raramente,Pequeñas,Ocasionalmente,Raramente
89,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Ocasionalmente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
90,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,Nunca,Menos de 50 kg,Raramente,Nunca,Nunca,Ocasionalmente,Nunca,Nunca,Raramente,Nunca,Raramente,Mejorar salud,Descanso,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
91,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,No consumo suplementos,No consumo suplementos,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
92,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Frecuentemente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
93,Ocasionalmente,Menos de 30 minutos,50-100 g,Raramente,Menos de 20 g,Raramente,Más de 90 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Ocasionalmente,Mejorar salud,Motivación,Bajo,Nunca,Ocasionalmente,Pequeñas,Ocasionalmente,Raramente
94,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
95,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,Nunca,50-70 kg,Raramente,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Mejorar salud,Descanso,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
96,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Medio,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
97,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Ocasionalmente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Medio,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Ocasionalmente
98,Ocasionalmente,Menos de 30 minutos,50-100 g,Nunca,No consumo suplementos,No consumo suplementos,Menos de 50 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Motivación,Muy bajo,Nunca,Raramente,Pequeñas,Ocasionalmente,Raramente
99,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
100,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,Nunca,Más de 90 kg,Raramente,Nunca,Nunca,Ocasionalmente,Nunca,Nunca,Raramente,Nunca,Raramente,Mejorar salud,Descanso,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
101,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,No consumo suplementos,No consumo suplementos,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
102,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Muy alto,Frecuentemente,Frecuentemente,Significativas,Siempre,Siempre
103,Ocasionalmente,Menos de 30 minutos,50-100 g,Raramente,No consumo suplementos,No consumo suplementos,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Nunca,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
104,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
105,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,No consumo suplementos,Menos de 50 kg,Raramente,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Mejorar salud,Motivación,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
106,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Medio,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
107,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Frecuentemente,Ocasionalmente,Significativas,Frecuentemente,Frecuentemente
108,Ocasionalmente,Menos de 30 minutos,50-100 g,Nunca,No consumo suplementos,No consumo suplementos,Más de 90 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Raramente,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Motivación,Bajo,Nunca,Raramente,Pequeñas,Ocasionalmente,Raramente
109,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,Menos de 20 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
110,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,Nunca,50-70 kg,Raramente,Nunca,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Mejorar salud,Descanso,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
