Grupo de edad;Género;Frecuencia de consumo de bebidas gaseosas;Tipos de bebidas preferidas;Tamaño de bebida preferido;Atributos importantes;Precio dispuesto a pagar por 500ml;Lugar de compra frecuente;Sabor preferido;Factores que influencian al probar un nuevo producto
18-24 años;Masculino;Varias veces a la semana;"Bebidas energéticas, Bebidas gaseosas";750 ml-1 litro;"Sabor, Precio";41-50 córdobas;Supermercado;Naranja;Promociones o descuentos
45 años o más;Femenino;Ocasionalmente;"Agua embotellada, Bebidas con té o café";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Mercados locales;Limón;Opiniones en línea
35-44 años;Masculino;Varias veces a la semana;"Bebidas gaseosas, Jugos naturales";500-750 ml;"Sabor, Precio";31-40 córdobas;Tienda de conveniencia;Piña;Recomendaciones de amigos
25-34 años;Femenino;Ocasionalmente;"Bebidas con té o café, Bebidas energéticas";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Fresa;Promociones o descuentos
18-24 años;Masculino;A diario;"Bebidas gaseosas, Bebidas con té o café";500-750 ml;"Ingredientes naturales, Precio";31-40 córdobas;Tienda de conveniencia;Tamarindo;Opiniones en línea
45 años o más;Femenino;Varias veces a la semana;"Bebidas energéticas, Bebidas gaseosas";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Naranja;Disponibilidad en el punto de venta
35-44 años;Masculino;Ocasionalmente;"Bebidas con té o café, Agua embotellada";500-750 ml;"Sabor, Ingredientes naturales";20-30 córdobas;Tienda de conveniencia;Limón;Recomendaciones de amigos
25-34 años;Femenino;A diario;"Jugos naturales, Bebidas gaseosas";750 ml-1 litro;"Sabor, Precio";41-50 córdobas;Supermercado;Piña;Opiniones en línea
18-24 años;Masculino;Varias veces a la semana;"Bebidas gaseosas, Bebidas con té o café";500-750 ml;"Ingredientes naturales, Precio";20-30 córdobas;Mercados locales;Fresa;Promociones o descuentos
45 años o más;Femenino;Ocasionalmente;"Bebidas energéticas, Bebidas gaseosas";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Tamarindo;Disponibilidad en el punto de venta
35-44 años;No binario;A diario;"Agua embotellada, Jugos naturales";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Tienda de conveniencia;Naranja;Recomendaciones de amigos
25-34 años;Femenino;Ocasionalmente;"Bebidas con té o café, Bebidas gaseosas";500-750 ml;"Sabor, Precio";20-30 córdobas;Supermercado;Limón;Opiniones en línea
18-24 años;Masculino;Varias veces a la semana;"Bebidas gaseosas, Bebidas energéticas";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Tienda de conveniencia;Piña;Promociones o descuentos
45 años o más;Femenino;Ocasionalmente;"Agua embotellada, Bebidas con té o café";750 ml-1 litro;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Fresa;Recomendaciones de amigos
35-44 años;Masculino;A diario;"Bebidas con té o café, Bebidas energéticas";500-750 ml;"Sabor, Ingredientes naturales";20-30 córdobas;Tienda de conveniencia;Tamarindo;Disponibilidad en el punto de venta
25-34 años;Femenino;Ocasionalmente;"Bebidas gaseosas, Agua embotellada";750 ml-1 litro;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Naranja;Opiniones en línea
18-24 años;Masculino;Varias veces a la semana;"Bebidas energéticas, Bebidas gaseosas";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Tienda de conveniencia;Limón;Promociones o descuentos
45 años o más;Femenino;A diario;"Jugos naturales, Agua embotellada";500-750 ml;"Sabor, Precio";31-40 córdobas;Mercados locales;Piña;Recomendaciones de amigos
35-44 años;Masculino;Ocasionalmente;"Bebidas gaseosas, Bebidas con té o café";500-750 ml;"Sabor, Bajo en azúcar";20-30 córdobas;Supermercado;Fresa;Opiniones en línea
25-34 años;Masculino;Ocasionalmente;"Bebidas gaseosas, Jugos naturales";500-750 ml;"Sabor, Precio";20-30 córdobas;Supermercado;Limón;Recomendaciones de amigos
35-44 años;Femenino;A diario;"Bebidas con té o café, Agua embotellada";750 ml-1 litro;"Sabor, Ingredientes naturales";31-40 córdobas;Tienda de conveniencia;Piña;Promociones o descuentos
45 años o más;Masculino;Varias veces a la semana;"Bebidas energéticas, Bebidas gaseosas";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Fresa;Opiniones en línea
18-24 años;No binario;Ocasionalmente;"Bebidas gaseosas, Bebidas con té o café";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Tienda de conveniencia;Tamarindo;Disponibilidad en el punto de venta
25-34 años;Femenino;A diario;"Jugos naturales, Bebidas energéticas";500-750 ml;"Sabor, Precio";41-50 córdobas;Supermercado;Naranja;Recomendaciones de amigos
35-44 años;Masculino;Ocasionalmente;"Bebidas con té o café, Agua embotellada";750 ml-1 litro;"Sabor, Bajo en azúcar";31-40 córdobas;Tienda de conveniencia;Limón;Promociones o descuentos
45 años o más;Femenino;Varias veces a la semana;"Bebidas gaseosas, Bebidas energéticas";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Supermercado;Piña;Opiniones en línea
18-24 años;Masculino;Ocasionalmente;"Bebidas energéticas, Jugos naturales";500-750 ml;"Sabor, Precio";31-40 córdobas;Mercados locales;Fresa;Disponibilidad en el punto de venta
25-34 años;Femenino;A diario;"Bebidas gaseosas, Bebidas con té o café";500-750 ml;"Sabor, Ingredientes naturales";20-30 córdobas;Supermercado;Tamarindo;Promociones o descuentos
35-44 años;Masculino;Ocasionalmente;"Jugos naturales, Bebidas energéticas";750 ml-1 litro;"Sabor, Bajo en azúcar";31-40 córdobas;Mercados locales;Naranja;Opiniones en línea
45 años o más;Femenino;Varias veces a la semana;"Bebidas con té o café, Agua embotellada";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Supermercado;Limón;Recomendaciones de amigos
18-24 años;Masculino;Ocasionalmente;"Bebidas gaseosas, Bebidas energéticas";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Tienda de conveniencia;Piña;Promociones o descuentos
25-34 años;Femenino;A diario;"Agua embotellada, Bebidas con té o café";500-750 ml;"Sabor, Precio";31-40 córdobas;Supermercado;Fresa;Opiniones en línea
35-44 años;Masculino;Varias veces a la semana;"Bebidas energéticas, Bebidas gaseosas";500-750 ml;"Sabor, Ingredientes naturales";20-30 córdobas;Mercados locales;Tamarindo;Disponibilidad en el punto de venta
45 años o más;Femenino;Ocasionalmente;"Bebidas con té o café, Jugos naturales";750 ml-1 litro;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Naranja;Recomendaciones de amigos
18-24 años;Masculino;A diario;"Bebidas gaseosas, Agua embotellada";500-750 ml;"Sabor, Precio";31-40 córdobas;Tienda de conveniencia;Limón;Promociones o descuentos
25-34 años;Femenino;Ocasionalmente;"Jugos naturales, Bebidas gaseosas";750 ml-1 litro;"Sabor, Ingredientes naturales";41-50 córdobas;Supermercado;Piña;Opiniones en línea
35-44 años;Masculino;Varias veces a la semana;"Bebidas energéticas, Bebidas con té o café";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Tienda de conveniencia;Fresa;Disponibilidad en el punto de venta
45 años o más;Femenino;A diario;"Bebidas gaseosas, Bebidas energéticas";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Supermercado;Tamarindo;Recomendaciones de amigos
18-24 años;Masculino;Ocasionalmente;"Agua embotellada, Bebidas con té o café";500-750 ml;"Sabor, Precio";20-30 córdobas;Tienda de conveniencia;Naranja;Promociones o descuentos
25-34 años;Femenino;Varias veces a la semana;"Bebidas gaseosas, Bebidas energéticas";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Supermercado;Limón;Opiniones en línea
35-44 años;Masculino;Ocasionalmente;"Jugos naturales, Bebidas gaseosas";500-750 ml;"Sabor, Precio";31-40 córdobas;Mercados locales;Piña;Disponibilidad en el punto de venta
45 años o más;Femenino;A diario;"Bebidas con té o café, Agua embotellada";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Fresa;Recomendaciones de amigos
18-24 años;Masculino;Ocasionalmente;"Bebidas energéticas, Bebidas gaseosas";750 ml-1 litro;"Sabor, Ingredientes naturales";31-40 córdobas;Tienda de conveniencia;Tamarindo;Promociones o descuentos
25-34 años;Femenino;Varias veces a la semana;"Bebidas con té o café, Jugos naturales";500-750 ml;"Sabor, Precio";20-30 córdobas;Supermercado;Naranja;Opiniones en línea
35-44 años;Masculino;Ocasionalmente;"Bebidas gaseosas, Agua embotellada";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Tienda de conveniencia;Limón;Disponibilidad en el punto de venta
45 años o más;Femenino;Varias veces a la semana;"Bebidas energéticas, Bebidas con té o café";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Supermercado;Piña;Recomendaciones de amigos
18-24 años;Masculino;Ocasionalmente;"Jugos naturales, Bebidas gaseosas";750 ml-1 litro;"Sabor, Precio";31-40 córdobas;Mercados locales;Fresa;Promociones o descuentos
25-34 años;Femenino;A diario;"Bebidas gaseosas, Bebidas con té o café";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Supermercado;Tamarindo;Opiniones en línea
35-44 años;Masculino;Varias veces a la semana;"Agua embotellada, Jugos naturales";500-750 ml;"Sabor, Ingredientes naturales";20-30 córdobas;Tienda de conveniencia;Limón;Opiniones en línea
25-34 años;Femenino;Ocasionalmente;"Bebidas gaseosas, Bebidas energéticas";750 ml-1 litro;"Sabor, Precio";31-40 córdobas;Supermercado;Piña;Promociones o descuentos
45 años o más;Masculino;A diario;"Bebidas con té o café, Agua embotellada";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Tienda de conveniencia;Fresa;Recomendaciones de amigos
18-24 años;No binario;Varias veces a la semana;"Bebidas gaseosas, Jugos naturales";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Mercados locales;Tamarindo;Disponibilidad en el punto de venta
25-34 años;Femenino;Ocasionalmente;"Bebidas energéticas, Bebidas gaseosas";500-750 ml;"Sabor, Precio";20-30 córdobas;Supermercado;Naranja;Opiniones en línea
35-44 años;Masculino;A diario;"Jugos naturales, Bebidas con té o café";750 ml-1 litro;"Sabor, Ingredientes naturales";31-40 córdobas;Tienda de conveniencia;Limón;Recomendaciones de amigos
45 años o más;Femenino;Ocasionalmente;"Bebidas gaseosas, Bebidas energéticas";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Piña;Promociones o descuentos
18-24 años;Masculino;Varias veces a la semana;"Agua embotellada, Bebidas con té o café";500-750 ml;"Sabor, Precio";31-40 córdobas;Tienda de conveniencia;Fresa;Opiniones en línea
25-34 años;Femenino;Ocasionalmente;"Bebidas gaseosas, Jugos naturales";500-750 ml;"Sabor, Ingredientes naturales";20-30 córdobas;Supermercado;Tamarindo;Disponibilidad en el punto de venta
35-44 años;Masculino;A diario;"Bebidas energéticas, Agua embotellada";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Mercados locales;Naranja;Recomendaciones de amigos
45 años o más;Femenino;Varias veces a la semana;"Bebidas con té o café, Jugos naturales";750 ml-1 litro;"Sabor, Ingredientes naturales";31-40 córdobas;Supermercado;Limón;Opiniones en línea
18-24 años;Masculino;Ocasionalmente;"Bebidas gaseosas, Bebidas energéticas";500-750 ml;"Sabor, Precio";20-30 córdobas;Tienda de conveniencia;Piña;Promociones o descuentos
25-34 años;Femenino;A diario;"Agua embotellada, Bebidas con té o café";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Mercados locales;Fresa;Disponibilidad en el punto de venta
35-44 años;Masculino;Ocasionalmente;"Jugos naturales, Bebidas gaseosas";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Tamarindo;Recomendaciones de amigos
45 años o más;Femenino;A diario;"Bebidas gaseosas, Bebidas energéticas";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Tienda de conveniencia;Naranja;Opiniones en línea
18-24 años;Masculino;Varias veces a la semana;"Bebidas con té o café, Agua embotellada";750 ml-1 litro;"Sabor, Precio";20-30 córdobas;Supermercado;Limón;Promociones o descuentos
25-34 años;Femenino;Ocasionalmente;"Bebidas energéticas, Jugos naturales";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Tienda de conveniencia;Piña;Recomendaciones de amigos
35-44 años;Masculino;A diario;"Bebidas gaseosas, Bebidas con té o café";500-750 ml;"Sabor, Ingredientes naturales";31-40 córdobas;Mercados locales;Fresa;Disponibilidad en el punto de venta
45 años o más;Femenino;Varias veces a la semana;"Agua embotellada, Jugos naturales";500-750 ml;"Sabor, Precio";31-40 córdobas;Supermercado;Tamarindo;Opiniones en línea
18-24 años;Masculino;Ocasionalmente;"Bebidas energéticas, Bebidas gaseosas";750 ml-1 litro;"Sabor, Ingredientes naturales";31-40 córdobas;Tienda de conveniencia;Naranja;Recomendaciones de amigos
25-34 años;Femenino;Varias veces a la semana;"Bebidas con té o café, Agua embotellada";500-750 ml;"Sabor, Bajo en azúcar";31-40 córdobas;Supermercado;Limón;Promociones o descuentos
35-44 años;Masculino;A diario;"Bebidas gaseosas, Bebidas energéticas";500-750 ml;"Sabor, Precio";20-30 córdobas;Tienda de conveniencia;Piña;Opiniones en línea
45 años o más;Femenino;Ocasionalmente;"Jugos naturales, Bebidas con té o café";750 ml-1 litro;"Sabor, Ingredientes naturales";31-40 córdobas;Mercados locales;Fresa;Disponibilidad en el punto de venta
